"0-1","empty set"
"1-1","PU, P8"
"2-1","m2, M7"
"2-2","M2,m7"
"2-3","m3, M6"
"2-4","M3, m6"
"2-5","P4, P5"
"2-6","A4, d5"
"3-5A","Viennese trichord"
"3-7B","Blues trichord (min. pentatonic subset)[8]"
"3-8A","It6"
"3-9","sus. chord"
"3-10","dim. chord"
"3-11A","minor chord"
"3-11B","major chord"
"3-12","Aug. chord"
"4-6","dream chord"
"4-9","distance model"
"4-z15A","all-interval tetrachord"
"4-z15B","all-interval tetrachord"
"4-17","alpha chord"
"4-18A","dim. M7 chord"
"4-19A","mM7 chord"
"4-20","M7 chord"
"4-22A","mu chord"
"4-23","quartal chord"
"4-24","A7 chord"
"4-25","Fr6"
"4-26","minor seventh chord"
"4-27A","Half-diminished seventh chord"
"4-27B","dominant 7th chord"
"4-28","dim. 7th chord"
"4-z29A","all-interval tetrachord"
"4-z29B","all-interval tetrachord"
"5-z17","Farben chord"
"5-20B","In scale"
"5-25A","Seven six chord"
"5-31A","beta chord"
"5-31B","Dominant minor ninth chord"
"5-32B","Elektra chord"," gamma chord"
"5-34","Dominant ninth chord"
"5-35","M pentatonic scale"
"6-1","chromatic hexachord"
"6-z11B","Sacher hexachord"
"6-z17A","all-trichord hexachord"
"6-20",""Ode-to-Napoleon" hexachord"
"6-z25A","Major eleventh chord"
"6-z29","Bridge chord"
"6-30B","Petrushka chord"
"6-32","diatonic hexachord"
"6-33B","Dominant eleventh chord"
"6-34A","mystic chord"
"6-35","whole tone scale"
"12-1","aggregate"
"9-9","blues scale"
"8-23","bebop scale"
"8-28","octatonic scale"
"7-20A","Persian scale"
"7-22","double harmonic scale"
"7-24B","enigmatic scale"
"7-30A","minor Neapolitan scale"
"7-31B","Romanian major scale"
"7-31A","Hungarian major scale"
"7-32B","harmonic major scale"
"7-32A","harmonic minor scale"
"7-33","M Locrian scale"
"7-34","altered scale"
"7-35","diatonic scale"
"6-z44A","Schoenberg hexachord"
"6-z47B","blues scale"
